title,genre,language,rating,duration_min,year
To the Bone,Drama,English,6.8,107.0,2017
Gerald's Game,Horror thriller,English,6.5,103.0,2017
It Takes a Lunatic,Documentary,English,6.6,126.0,2019
Laerte-se,Documentary,Portuguese,6.9,100.0,2017
Guillermo Vilas: Settling the Score,Documentary,Spanish,7.1,94.0,2020
Secrets of the Saqqara Tomb,Documentary,English/Arabic,7.3,114.0,2020
Things Heard & Seen,Horror,English,5.3,121.0,2021
ARQ,Science fiction/Thriller,English,6.4,88.0,2016
Outlaw King,Historical-epic,English,6.9,121.0,2018
Emicida: AmarElo - It's All For Yesterday,Documentary,Portuguese,8.6,89.0,2020
Athlete A,Documentary,English,7.6,104.0,2020
Marriage Story,Drama,English,7.9,136.0,2019
Dolly Parton's Christmas on the Square,Christmas musical,English,5.2,98.0,2020
The Package,Black comedy,English,5.5,94.0,2018
Unknown Origins,Thriller,Spanish,6.1,96.0,2020
Roma,Drama,Spanish,7.7,135.0,2018
"Love, Guaranteed",Romantic comedy,English,5.6,91.0,2020
Rich in Love,Romantic comedy,Portuguese,5.8,105.0,2020
Bigflo & Oil: Hip Hop Frenzy,Documentary,French,6.9,100.0,2020
Private Life,Drama,English,7.2,124.0,2018
The Most Hated Woman in America,Biopic,English,6.1,92.0,2017
Beats,Drama,English,7.1,110.0,2019
Shirkers,Documentary,English,7.4,97.0,2018
Drive,Action,Hindi,3.5,147.0,2019
City of Joy,Documentary,English,7.5,74.0,2018
Blue Miracle,Drama,English,6.7,95.0,2021
David Attenborough: A Life on Our Planet,Documentary,English,9.0,83.0,2020
The Other Side of the Wind,Drama,English,6.8,122.0,2018
One-Way to Tomorrow,Romance,Turkish,5.6,90.0,2020
The App,Science fiction/Drama,Italian,2.6,79.0,2019
Derren Brown: Sacrifice,Mentalism special,English,7.1,49.0,2018
The Night Comes for Us,Action-thriller,Indonesian,7.0,121.0,2018
John Mulaney & the Sack Lunch Bunch,Variety show,English,7.5,70.0,2019
The Bleeding Edge,Documentary,English,7.6,100.0,2018
Triple Frontier,Action-thriller,English,6.4,125.0,2019
Into the Inferno,Documentary,English,7.2,107.0,2016
Walk. Ride. Rodeo.,Drama,English,6.4,99.0,2019
The Willoughbys,Animation/Comedy/Adventure,English,6.4,90.0,2020
Mrs. Serial Killer,Thriller,Hindi,4.8,106.0,2020
Lost Bullet,Thriller,French,6.2,92.0,2020
Despite Everything,Comedy,Spanish,5.4,78.0,2019
Reversing Roe,Documentary,English,7.5,99.0,2018
The Cloverfield Paradox,Science fiction,English,5.5,102.0,2018
Spelling the Dream,Documentary,English,6.9,83.0,2020
Mascots,Mockumentary,English,5.8,95.0,2016
The Open House,Horror thriller,English,3.2,94.0,2018
Rocko's Modern Life: Static Cling,Animation / Comedy,English,7.0,45.0,2019
Rogue City,Crime drama,French,6.1,116.0,2020
Feel the Beat,Family/Comedy-drama,English,6.3,107.0,2020
Dolemite Is My Name,Biopic,English,7.3,118.0,2019
Set It Up,Romantic comedy,English,6.5,105.0,2018
True Memoirs of an International Assassin,Action comedy,English,5.9,98.0,2016
Rising High,Satire,German,5.8,94.0,2020
Paper Lives,Drama,Turkish,6.7,97.0,2021
The Heartbreak Club,Comedy-drama,Indonesian,6.4,101.0,2021
Special Correspondents,Satire,English,5.8,100.0,2016
Nail Bomber: Manhunt,Documentary,English,6.3,72.0,2021
Get Me Roger Stone,Documentary,English,7.3,101.0,2017
"Ram Dass, Going Home",Documentary,English,7.1,31.0,2018
Crip Camp: A Disability Revolution,Documentary,English,7.7,108.0,2020
The Holiday Calendar,Romantic comedy,English,5.7,95.0,2018
On My Skin,Crime drama,Italian,7.3,100.0,2018
Layla Majnun,Romantic drama,Indonesian,6.4,119.0,2021
After the Raid,Documentary,Spanish,4.3,25.0,2019
Dick Johnson Is Dead,Documentary,English,7.5,90.0,2020
LA Originals,Documentary,English,7.2,92.0,2020
Work It,Dance comedy,English,6.1,93.0,2020
The Misadventures of Hedi and Cokeman,Comedy,French,4.5,99.0,2021
"Michael Bolton's Big, Sexy, Valentine's Day Special",Variety Show,English,6.7,54.0,2017
The Ballad of Buster Scruggs,Western,English,7.3,132.0,2018
Intuition,Thriller,Spanish,5.3,116.0,2020
The Ivory Game,Documentary,English,7.9,112.0,2016
Dancing with the Birds,Documentary,English,8.3,51.0,2019
Bad Trip,Hidden-camera prank comedy,English,6.6,86.0,2021
Fire in Paradise,Documentary,English,7.4,39.0,2019
A Fall from Grace,Thriller,English,5.9,120.0,2020
Ludo,Anthology/Dark comedy,Hindi,7.6,149.0,2020
Crazy Awesome Teachers,Comedy-drama,Indonesian,6.2,101.0,2020
Back to School,Comedy,French,5.3,83.0,2019
Angela's Christmas Wish,Animation,English,7.1,47.0,2020
Madame Claude,Drama,French,5.4,112.0,2021
Soni,Crime drama,Hindi,7.2,97.0,2019
Saving Capitalism,Documentary,English,6.8,73.0,2017
Road to Roma,Making-of,Spanish,7.7,72.0,2020
The Perfect Date,Romantic comedy,English,5.8,89.0,2019
Upstarts,Drama,Hindi,6.7,112.0,2019
Nobody Sleeps in the Woods Tonight,Horror,Polish,4.8,103.0,2020
The Boys in the Band,Drama,English,6.8,121.0,2020
The Princess Switch: Switched Again,Romantic comedy,English,5.4,97.0,2020
All the Bright Places,Romance,English,6.5,108.0,2020
Fearless,Animation/Superhero,English,4.9,89.0,2020
Small Crimes,Dark comedy,English,5.8,95.0,2017
Sitara: Let Girls Dream,Animation / Short,English,7.3,15.0,2020
Loudon Wainwright III: Surviving Twin,One-man show,English,7.1,91.0,2018
Rebirth,Thriller,English,5.0,100.0,2016
